epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,2002.74,0.58458,0.49396,2.2452,0.99662,1,0.995,0.89804,0.44134,0.3175,2.11069,0.0009176,0.0009176,0.0009176
166,2015.11,0.49942,0.41025,2.10641,0.99592,1,0.995,0.87932,0.44197,0.27579,2.10985,0.000911,0.000911,0.000911
167,2026.65,0.46694,0.38405,2.11056,0.99609,1,0.995,0.90816,0.45329,0.28344,2.15364,0.0009044,0.0009044,0.0009044
168,2038.54,0.51261,0.40549,2.1391,0.99625,1,0.995,0.89531,0.42648,0.27827,2.08767,0.0008978,0.0008978,0.0008978
169,2050.97,0.43706,0.36186,2.11611,0.99431,1,0.995,0.87401,0.48665,0.29232,2.06864,0.0008912,0.0008912,0.0008912
170,2062.77,0.45359,0.37132,2.13097,0.99326,1,0.995,0.89917,0.44488,0.28658,2.1156,0.0008846,0.0008846,0.0008846
171,2076.77,0.46902,0.37247,2.16399,0.99601,1,0.995,0.88668,0.45501,0.26801,2.06866,0.000878,0.000878,0.000878
172,2088.91,0.39441,0.33241,1.93568,0.99657,1,0.995,0.89494,0.45219,0.26276,2.02417,0.0008714,0.0008714,0.0008714
173,2101.53,0.48253,0.38344,2.12983,0.99655,1,0.995,0.86928,0.51903,0.27692,2.02611,0.0008648,0.0008648,0.0008648
174,2113.1,0.44804,0.35023,2.0731,0.99628,1,0.995,0.89928,0.47007,0.2782,2.03436,0.0008582,0.0008582,0.0008582
175,2124.99,0.43559,0.36558,2.0576,0.9953,1,0.995,0.9249,0.44227,0.2806,2.04386,0.0008516,0.0008516,0.0008516
176,2137.1,0.42198,0.36337,2.01678,0.99566,1,0.995,0.89519,0.44256,0.28983,2.06108,0.000845,0.000845,0.000845
177,2148.91,0.49351,0.37049,2.09786,0.99654,1,0.995,0.89201,0.43832,0.2817,2.1047,0.0008384,0.0008384,0.0008384
178,2160.48,0.40972,0.35883,2.17471,0.99657,1,0.995,0.89594,0.44183,0.26316,2.07016,0.0008318,0.0008318,0.0008318
179,2172.2,0.43556,0.37158,2.11633,0.99226,1,0.995,0.91191,0.42996,0.28149,2.06188,0.0008252,0.0008252,0.0008252
180,2184.73,0.45307,0.36238,2.04019,0.98325,1,0.995,0.89713,0.46086,0.30066,2.06611,0.0008186,0.0008186,0.0008186
181,2196.42,0.42169,0.46853,1.97841,0.98871,1,0.995,0.92558,0.44004,0.26608,2.07663,0.000812,0.000812,0.000812
182,2208.79,0.43626,0.3676,2.04556,1,0.99522,0.995,0.93246,0.40756,0.28701,2.04706,0.0008054,0.0008054,0.0008054
183,2221.4,0.4041,0.36077,2.2229,0.99419,1,0.995,0.91964,0.42107,0.27357,2.01576,0.0007988,0.0007988,0.0007988
184,2233.69,0.43275,0.37796,2.08489,0.99654,1,0.995,0.9083,0.44362,0.28905,2.01997,0.0007922,0.0007922,0.0007922
185,2245.55,0.46468,0.35433,2.07586,0.99664,1,0.995,0.90079,0.45175,0.2858,2.00866,0.0007856,0.0007856,0.0007856
186,2257.57,0.4167,0.37104,2.17173,0.99646,1,0.995,0.90876,0.4499,0.27884,2.03209,0.000779,0.000779,0.000779
187,2269.74,0.422,0.36419,2.03473,0.99651,1,0.995,0.91886,0.42096,0.26571,2.05814,0.0007724,0.0007724,0.0007724
188,2281.8,0.45175,0.38183,2.16022,0.99627,1,0.995,0.90928,0.44227,0.26612,2.04227,0.0007658,0.0007658,0.0007658
189,2293.73,0.46362,0.37579,2.115,0.99552,1,0.995,0.93462,0.41934,0.27963,2.06008,0.0007592,0.0007592,0.0007592
